4846	specificAttributes	VOLUME	WEIGHT	LOAD	MATERIAL	EXPAND
10486	specificAttributes	50+10	1.75	15	420D Nylon R/S, 600 Polyester	\N
10487	specificAttributes	35	0.98	8	420D Nylon R/S, 600D Polyester	\N
10488	specificAttributes	30+8	1.10	12	420D Nylon HD Oxford, 330D Nylon Big double R/S	\N
10489	specificAttributes	25	1.0	5-8	210D Nylon diamond R/S	\N
10490	specificAttributes	55+10	1.8	15	420D Nylon R/S, 600 Polyester	\N
10491	specificAttributes	25	1.05	12	420D Nylon HD Oxford, 330D Nylon Big double R/S	\N
10492	specificAttributes	35	0.98	8	420D Nylon R/S, 600D Polyester	\N
10493	specificAttributes	22	0.57	7	600D Polyester	\N
10494	specificAttributes	60	1.8	15	600D Polyester	\N
10495	specificAttributes	26	0.70	8	70 Nylon 3Line R/S, 210D Nylon Velocity	\N
10496	specificAttributes	28	1.12	8	210D Nylon Double diamond R/S, 210D Nylon Strip Twill	\N
10497	specificAttributes	20	0.65	8	450D Polyester Baby R/S, 600D Polyester	\N
10498	specificAttributes	25	0.95	5-8	210D Nylon diamond R/S	\N
10499	specificAttributes	40	1.6	15	600D Polyester	\N
10500	specificAttributes	20	0.65	8	450D Polyester Baby R/S, 600D Polyester	\N
10502	specificAttributes	28	1.10	12	420D Nylon HD Oxford, 330D Nylon Big double R/S	\N
10503	specificAttributes	22	0.57	7	600D Polyester	\N
10505	specificAttributes	20	0.65	8	450D Polyester Baby R/S, 600D Polyester	\N
10506	specificAttributes	12	0.3	5	600D Polyester	\N
10508	specificAttributes	35	1.19	12	420D Nylon HD Oxford, 330D Nylon Big double R/S	\N
10509	specificAttributes	12	0.3	5	600D Polyester	\N
10511	specificAttributes	50	1.7	15	600D Polyester	\N
10512	specificAttributes	8	0.25	3	600D Polyester	\N
10513	specificAttributes	35	0.75	8	450D Polyester Baby R/S, 600D Polyester	\N
10514	specificAttributes	28	0.80	8	70D Nylon 3Line R/S, 210D Nylon Velocity	\N
10515	specificAttributes	30	1.0	12	330D Nylon double R/S, 600D Polyester	\N
10517	specificAttributes	28	1.12	8	210D Nylon Double diamond R/S, 210D Nylon Strip Twill	\N
10518	specificAttributes	28	0.94	8	420D Nylon R/S, 600D Polyester	\N
10519	specificAttributes	40+8	1.4	15	210D Nylon Stripe Twill, 330D Nylon Double R/S	\N
10522	specificAttributes	35	0.75	8	450D Polyester Baby R/S, 600D Polyester	\N
10523	specificAttributes	30	0.75	8	450D Polyester Baby R/S, 600D Polyester	\N
10525	specificAttributes	28	0.94	8	420D Nylon R/S, 600D Polyester	\N
10526	specificAttributes	20	0.65	8	450D Polyester Baby R/S, 600D Polyester	\N
10527	specificAttributes	28	1.50	8	210D Nylon Double diamond R/S, 210D Nylon Strip Twill	\N
10528	specificAttributes	30	0.75	8	450D Polyester Baby R/S, 600D Polyester	\N
10529	specificAttributes	75+10	2.0	15	420D Nylon R/S, 600 Polyester	\N
10530	specificAttributes	25	1.05	8	210D Nylon Double diamond R/S, 210D Nylon Strip Twill	\N
10532	specificAttributes	28	0.94	8	420D Nylon R/S, 600D Polyester	\N
10533	specificAttributes	35	0.98	8	420D Nylon R/S, 600D Polyester	\N
10534	specificAttributes	28	1.50	8	210D Nylon Double diamond R/S, 210D Nylon Strip Twill	\N
10536	specificAttributes	32+8	1.25	12	420D Nylon HD Oxford, 330D Nylon Big double R/S	\N
10539	specificAttributes	60+10	1.8	20	330D Nylon double R/S, 600D Polyester	\N
10540	specificAttributes	70	2.90	20	420D Nylon matt, 330D Nylon nailhead dobby	\N
10542	specificAttributes	25	0.67	5-8	600D Polyester, 450D Polyester R/S, print: 600D Polyester	\N
10543	specificAttributes	40	2.7	\N	420D Nylon matt, 330D Nylon Nailhead Dobby	51x37x20 cm
10546	specificAttributes	25	0.67	5-8	600D Polyester, 450D Polyester R/S, print: 600D Polyester	\N
10547	specificAttributes	90	4.1	\N	420D Nylon matt, 330D Nylon Nailhead Dobby	73x40x30 cm
10548	specificAttributes	25	0.86	5-8	600D Polyester, 450D Polyester R/S, print: 600D Polyester	\N
10550	specificAttributes	25	0.67	5-8	600D Polyester, 450D Polyester R/S, print: 600D Polyester	\N
10554	specificAttributes	12	0.37	5	600D Polyester	\N
10558	specificAttributes	45+10	1.7	20	330D Nylon double R/S, 600D Polyester	\N
10560	specificAttributes	25	0.67	5-8	600D Polyester, 450D Polyester R/S, print: 600D Polyester	\N
10561	specificAttributes	12	0.37	5	600D Polyester	\N
10563	specificAttributes	25	0.88	5-8	600D Polyester, 450D Polyester R/S, print: 600D Polyester	\N
10570	specificAttributes	50+10	1.7	20	330D Nylon double R/S, 600D Polyester	\N
10572	specificAttributes	25	0.88	5-8	600D Polyester, 450D Polyester R/S, print: 600D Polyester	\N
10573	specificAttributes	12	0.37	5	600D Polyester	\N
10576	specificAttributes	25	0.86	5-8	600D Polyester, 450D Polyester R/S, print: 600D Polyester	\N
10578	specificAttributes	25	0.88	5-8	600D Polyester, 450D Polyester R/S, print: 600D Polyester	\N
10580	specificAttributes	55+10	1.8	20	330D Nylon double R/S, 600D Polyester	\N
10811	specificAttributes	35	1.19	12	420D Nylon HD Oxford, 330D Nylon Big double R/S	\N
10815	specificAttributes	25	1.05	12	420D Nylon HD Oxford, 330D Nylon Big double R/S	\N
10955	specificAttributes	45+10 	1.7	20+	330D Double Ripstop 600D Polyester	\N
10956	specificAttributes	45+10 	1.7	20+	330D Double Ripstop 600D Polyester	\N
10957	specificAttributes	40+8 	1.40 	12+	210D Nylon Stripe Twill 330D Nylon Double R/S	\N
